date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level,QQQ,Return %,QQQ %,date,Return %,QQQ %,date,Return %,QQQ %,date,Return %,QQQ %
5/4/2021,283880.8914,0,1,1.9,-0.5,0.198270508,FORCE_BUY,0.235,0.3,330.14,183.88%,55.28%,5/4/2021,183.88%,55.28%,5/7/2024,96.44%,66.49%,,,
5/5/2021,283355.7122,0,1,2.45,2.15,0.199413647,FORCE_BUY,0.235,0.3,329.03,183.36%,54.76%,5/5/2021,183.36%,54.76%,5/8/2024,96.22%,66.39%,,,
5/6/2021,285749.1519,0,1,1.65,2.15,0.132290919,FORCE_BUY,0.235,0.3,331.51,185.75%,55.92%,5/6/2021,185.75%,55.92%,5/9/2024,97.07%,66.75%,,,
5/7/2021,287987.6207,0,1,1.55,2,0.169969037,FORCE_BUY,0.235,0.3,334.2,187.99%,57.19%,5/7/2021,187.99%,57.19%,5/10/2024,96.98%,67.14%,,,
5/10/2021,279894.6951,0,1,1.55,2,0.247325248,FREE,0.235,0.3,325.76,179.89%,53.22%,5/10/2021,179.89%,53.22%,5/13/2024,97.69%,67.53%,,,
5/11/2021,279954.9615,0,1,2.2,-0.5,0.158140016,FORCE_BUY,0.235,0.3,325.31,179.95%,53.01%,5/11/2021,179.95%,53.01%,5/14/2024,99.16%,68.61%,,,
5/12/2021,279182.7691,0,1,1.55,-0.5,0.266652127,FREE,0.235,0.3,316.89,179.18%,49.05%,5/12/2021,179.18%,49.05%,5/15/2024,102.43%,71.24%,,,
5/13/2021,281232.6079,0,1,2.4,-0.5,0.226404447,FORCE_BUY,0.235,0.3,319.34,181.23%,50.20%,5/13/2021,181.23%,50.20%,5/16/2024,102.44%,70.89%,,,
5/14/2021,288253.0859,0,1,2.25,-0.5,0.171466875,FORCE_BUY,0.235,0.3,326.39,188.25%,53.52%,5/14/2021,188.25%,53.52%,5/17/2024,102.25%,70.81%,,,
5/17/2021,285948.117,0,1,1.4,-0.5,0.161495175,FORCE_BUY,0.235,0.3,324.41,185.95%,52.58%,5/17/2021,185.95%,52.58%,5/20/2024,103.59%,72.00%,,,
5/18/2021,286939.8777,0,1,1.15,-0.5,0.244851266,FREE,0.235,0.3,322.22,186.94%,51.55%,5/18/2021,186.94%,51.55%,5/21/2024,104.30%,72.34%,,,
5/19/2021,287279.4304,0,1,2.35,-0.5,0.152422869,FORCE_BUY,0.235,0.3,322.59,187.28%,51.73%,5/19/2021,187.28%,51.73%,5/22/2024,104.99%,72.30%,,,
5/20/2021,294570.8772,0,1,1.85,-0.5,0.160672792,FORCE_BUY,0.235,0.3,328.83,194.57%,54.66%,5/20/2021,194.57%,54.66%,5/23/2024,105.85%,71.53%,,,
5/21/2021,292256.5577,0,1,1.85,-0.5,0.211525605,FORCE_BUY,0.235,0.3,327.01,192.26%,53.81%,5/21/2021,192.26%,53.81%,5/24/2024,106.47%,73.15%,,,
5/24/2021,297555.3664,0,1,1.85,-0.5,0.18055553,FORCE_BUY,0.235,0.3,332.51,197.56%,56.39%,5/24/2021,197.56%,56.39%,5/28/2024,107.12%,73.81%,,,
5/25/2021,298332.7634,0,1,1.85,-0.5,0.197168852,FORCE_BUY,0.235,0.3,332.97,198.33%,56.61%,5/25/2021,198.33%,56.61%,5/29/2024,104.90%,72.58%,,,
5/26/2021,298645.5092,0,1,0.8,2.1,0.164812652,FORCE_BUY,0.235,0.3,334.13,198.65%,57.16%,5/26/2021,198.65%,57.16%,5/30/2024,104.94%,70.73%,,,
5/27/2021,297046.0374,297046.0374,0,0.85,2.2,0.235290579,FREE,0.235,0.3,332.88,197.05%,56.57%,5/27/2021,197.05%,56.57%,5/31/2024,102.47%,70.41%,,,
5/28/2021,296743.8708,0,1,0.85,2.2,0.205408241,FORCE_BUY,0.24,0.3,333.93,196.74%,57.06%,5/28/2021,196.74%,57.06%,6/3/2024,102.45%,71.33%,,,
6/1/2021,295534.7599,0,1,1.15,-0.5,0.23230452,FORCE_BUY,0.24,0.3,332.82,195.53%,56.54%,6/1/2021,195.53%,56.54%,6/4/2024,103.38%,71.80%,,,
6/2/2021,296654.8833,0,1,1.1,2.4,0.186853605,FORCE_BUY,0.24,0.3,333.47,196.65%,56.85%,6/2/2021,196.65%,56.85%,6/5/2024,107.26%,75.26%,,,
6/3/2021,292707.782,0,1,2.15,1.15,0.214967115,FORCE_BUY,0.24,0.3,330,192.71%,55.21%,6/3/2021,192.71%,55.21%,6/6/2024,107.13%,75.20%,,,
6/4/2021,298521.7555,0,1,1.35,1.15,0.17255707,FORCE_BUY,0.24,0.3,335.6,198.52%,57.85%,6/4/2021,198.52%,57.85%,6/7/2024,106.51%,75.05%,,,
6/7/2021,299588.5396,0,1,-0.5,1.1,0.138638888,FORCE_BUY,0.24,0.3,336.6,199.59%,58.32%,6/7/2021,199.59%,58.32%,6/10/2024,107.36%,75.75%,,,
6/8/2021,299526.3105,0,1,2.05,1.5,0.22394907,FORCE_BUY,0.24,0.3,336.76,199.53%,58.39%,6/8/2021,199.53%,58.39%,6/11/2024,109.24%,76.96%,,,
6/9/2021,299704.1079,299704.1079,0,2.05,1.5,0.279602856,FREE,0.24,0.3,336.84,199.70%,58.43%,6/9/2021,199.70%,58.43%,6/12/2024,113.00%,79.28%,,,
6/10/2021,300365.6479,0,1,0.5,2.45,0.147406208,FORCE_BUY,0.24,0.3,340.35,200.37%,60.08%,6/10/2021,200.37%,60.08%,6/13/2024,113.23%,80.25%,,,
6/11/2021,301133.0344,0,1,0.5,2.4,0.119898437,FORCE_BUY,0.24,0.3,341.24,201.13%,60.50%,6/11/2021,201.13%,60.50%,6/14/2024,114.10%,81.18%,,,
6/14/2021,303514.5786,0,1,0.5,2.4,0.170869958,FORCE_BUY,0.24,0.3,344.51,203.51%,62.04%,6/14/2021,203.51%,62.04%,6/17/2024,116.80%,83.40%,,,
6/15/2021,304621.7057,0,1,0.5,2.4,0.247044132,FREE,0.24,0.3,342.26,204.62%,60.98%,6/15/2021,204.62%,60.98%,6/18/2024,117.04%,83.46%,,,
6/16/2021,304414.194,0,1,1.3,1.15,0.271805933,FREE,0.24,0.3,341.01,204.41%,60.39%,6/16/2021,204.41%,60.39%,6/20/2024,118.16%,82.04%,,,
6/17/2021,310794.3474,0,1,1.3,2.3,0.20550357,FORCE_BUY,0.24,0.3,345.34,210.79%,62.43%,6/17/2021,210.79%,62.43%,6/21/2024,117.89%,81.56%,,,
6/18/2021,308901.1045,0,1,1.95,2.25,0.266788389,FREE,0.24,0.3,342.63,208.90%,61.15%,6/18/2021,208.90%,61.15%,6/24/2024,117.50%,79.20%,,,
6/21/2021,311268.509,0,1,1.9,2.4,0.184205248,FORCE_BUY,0.24,0.3,344.36,211.27%,61.97%,6/21/2021,211.27%,61.97%,6/25/2024,119.01%,81.25%,,,
6/22/2021,314358.7851,0,1,1.55,2.4,0.168768048,FORCE_BUY,0.24,0.3,347.57,214.36%,63.48%,6/22/2021,214.36%,63.48%,6/26/2024,118.52%,81.63%,,,
6/23/2021,314611.7901,0,1,1.55,2.4,0.188912136,FORCE_BUY,0.24,0.3,347.74,214.61%,63.56%,6/23/2021,214.61%,63.56%,6/27/2024,120.54%,82.10%,,,
6/24/2021,315949.1026,0,1,-0.5,1.2,0.207490679,FORCE_BUY,0.24,0.3,349.89,215.95%,64.57%,6/24/2021,215.95%,64.57%,6/28/2024,120.77%,81.15%,,,
6/25/2021,315759.3488,0,1,-0.5,1.2,0.204252987,FORCE_BUY,0.24,0.3,349.46,215.76%,64.37%,6/25/2021,215.76%,64.37%,7/1/2024,121.74%,82.21%,,,
6/28/2021,319102.6299,0,1,-0.5,0.9,0.141515138,FORCE_BUY,0.24,0.3,353.71,219.10%,66.37%,6/28/2021,219.10%,66.37%,7/2/2024,124.15%,84.13%,,,
6/29/2021,321244.137,0,1,1.75,1.05,0.126999551,FORCE_BUY,0.24,0.3,354.99,221.24%,66.97%,6/29/2021,221.24%,66.97%,7/3/2024,126.15%,85.66%,,,
6/30/2021,320611.6244,0,1,1.4,1.25,0.155432646,FORCE_BUY,0.24,0.3,354.43,220.61%,66.70%,6/30/2021,220.61%,66.70%,7/5/2024,128.39%,87.60%,,,
7/1/2021,320060.4348,0,1,1.25,0.9,0.143780799,FORCE_BUY,0.24,0.3,354.57,220.06%,66.77%,7/1/2021,220.06%,66.77%,7/8/2024,129.95%,88.04%,,,
7/2/2021,323864.5466,0,1,1.6,1.9,0.133087511,FORCE_BUY,0.24,0.3,358.64,223.86%,68.68%,7/2/2021,223.86%,68.68%,7/9/2024,129.52%,88.21%,,,
7/6/2021,325156.6795,0,1,1.6,1.9,0.14435421,FORCE_BUY,0.24,0.3,360.19,225.16%,69.41%,7/6/2021,225.16%,69.41%,7/10/2024,131.61%,90.17%,,,
7/7/2021,326186.7716,0,1,-0.5,0.15,0.166113254,FORCE_BUY,0.24,0.3,360.95,226.19%,69.77%,7/7/2021,226.19%,69.77%,7/11/2024,127.71%,86.00%,,,
7/8/2021,323521.1825,0,1,2,0.05,0.187483007,FORCE_BUY,0.24,0.29,358.77,223.52%,68.75%,7/8/2021,223.52%,68.75%,7/12/2024,127.71%,87.09%,,,
7/9/2021,326250.0228,0,1,1.15,1.55,0.151183715,FORCE_BUY,0.24,0.29,361.01,226.25%,69.80%,7/9/2021,226.25%,69.80%,7/15/2024,127.71%,87.59%,,,
7/12/2021,327704.8019,0,1,1.15,1.55,0.119611642,FORCE_BUY,0.24,0.29,362.42,227.70%,70.46%,7/12/2021,227.70%,70.46%,7/16/2024,127.46%,87.67%,,,
7/13/2021,326927.7149,0,1,1.15,1.55,0.208491456,FORCE_BUY,0.24,0.29,362.42,226.93%,70.46%,7/13/2021,226.93%,70.46%,7/17/2024,125.04%,82.16%,,,
7/14/2021,328174.6684,0,1,-0.5,1.5,0.182694731,FORCE_BUY,0.24,0.335,363.07,228.17%,70.77%,7/14/2021,228.17%,70.77%,7/18/2024,125.04%,81.30%,,,
7/15/2021,324939.8181,0,1,2.3,-0.5,0.197068656,FORCE_BUY,0.24,0.335,360.52,224.94%,69.57%,7/15/2021,224.94%,69.57%,7/19/2024,125.04%,79.69%,,,
7/16/2021,326220.7962,0,1,2.25,2.5,0.267212774,FREE,0.24,0.335,357.6,226.22%,68.20%,7/16/2021,226.22%,68.20%,7/22/2024,125.04%,82.37%,,,
7/19/2021,324668.6247,0,1,2.35,-0.5,0.15225915,FORCE_BUY,0.24,0.335,354.67,224.67%,66.82%,7/19/2021,224.67%,66.82%,7/23/2024,125.04%,81.72%,,,
7/20/2021,328092.5324,0,1,2.5,-0.5,0.195744188,FORCE_BUY,0.24,0.26,358.79,228.09%,68.75%,7/20/2021,228.09%,68.75%,7/24/2024,125.04%,75.20%,,,
7/21/2021,330201.6596,0,1,1.5,1.2,0.128089929,FORCE_BUY,0.21,0.255,361.56,230.20%,70.06%,7/21/2021,230.20%,70.06%,7/25/2024,125.04%,73.27%,,,
7/22/2021,333187.3071,0,1,-0.5,1.25,0.118477535,FORCE_BUY,0.21,0.23,363.95,233.19%,71.18%,7/22/2021,233.19%,71.18%,7/26/2024,125.04%,75.05%,,,
7/23/2021,335853.3899,0,1,-0.5,1.25,0.135848016,FORCE_BUY,0.21,0.23,368.2,235.85%,73.18%,7/23/2021,235.85%,73.18%,7/29/2024,125.04%,75.40%,,,
7/26/2021,336319.0414,0,1,-0.5,-0.5,0.115089565,FORCE_BUY,0.21,0.23,368.49,236.32%,73.32%,7/26/2021,236.32%,73.32%,7/30/2024,125.04%,72.99%,,,
7/27/2021,336629.4757,336629.4757,0,2.45,2.4,0.234155388,FORCE_SELL,0.21,0.23,364.43,236.63%,71.41%,7/27/2021,236.63%,71.41%,7/31/2024,125.04%,78.11%,,,
7/28/2021,336629.4757,336629.4757,0,2.45,0.4,0.18378406,FORCE_BUY,0.21,0.23,365.83,236.63%,72.07%,7/28/2021,236.63%,72.07%,8/1/2024,125.04%,73.80%,,,
7/29/2021,333100.6144,0,1,2.5,-0.5,0.170711283,FORCE_BUY,0.21,0.23,366.48,233.10%,72.37%,7/29/2021,233.10%,72.37%,8/2/2024,125.04%,69.67%,,,
7/30/2021,335425.6193,0,1,2.25,0.85,0.140306752,FORCE_BUY,0.21,0.23,364.57,235.43%,71.47%,7/30/2021,235.43%,71.47%,8/5/2024,125.04%,64.61%,,,
8/2/2021,337532.1233,0,1,-0.5,1.75,0.226038494,FREE,0.21,0.23,364.6,237.53%,71.49%,8/2/2021,237.53%,71.49%,8/6/2024,125.04%,66.19%,,,
8/3/2021,339133.293,0,1,-0.5,-0.5,0.158157438,FORCE_BUY,0.21,0.23,366.81,239.13%,72.53%,8/3/2021,239.13%,72.53%,8/7/2024,125.04%,64.39%,,,
8/4/2021,340271.6969,0,1,1.1,0.45,0.157043845,FORCE_BUY,0.21,0.23,367.34,240.27%,72.78%,8/4/2021,240.27%,72.78%,8/8/2024,125.04%,69.42%,,,
8/5/2021,342067.2282,0,1,1.85,2.5,0.116520883,FORCE_BUY,0.21,0.23,369.67,242.07%,73.87%,8/5/2021,242.07%,73.87%,8/9/2024,125.04%,70.30%,,,
8/6/2021,340484.5691,0,1,0.95,1.5,0.175636075,FORCE_BUY,0.21,0.23,368.05,240.48%,73.11%,8/6/2021,240.48%,73.11%,8/12/2024,125.04%,70.67%,,,
8/9/2021,341169.4625,0,1,0.85,0.95,0.150446875,FORCE_BUY,0.21,0.23,368.73,241.17%,73.43%,8/9/2021,241.17%,73.43%,8/13/2024,125.04%,74.90%,,,
8/10/2021,341706.2709,341706.2709,0,-0.5,0.4,0.227598532,FREE,0.21,0.23,366.84,241.71%,72.54%,8/10/2021,241.71%,72.54%,8/14/2024,125.10%,74.96%,,,
8/11/2021,343332.2529,0,1,0.9,1.2,0.219699396,FREE,0.21,0.23,366.21,243.33%,72.24%,8/11/2021,243.33%,72.24%,8/15/2024,131.03%,79.38%,,,
8/12/2021,345003.9749,0,1,0.9,1.75,0.151220144,FORCE_BUY,0.21,0.23,367.53,245.00%,72.87%,8/12/2021,245.00%,72.87%,8/16/2024,130.68%,79.61%,,,
8/13/2021,346177.9369,0,1,0.75,2.05,0.136883879,FORCE_BUY,0.175,0.195,368.82,246.18%,73.47%,8/13/2021,246.18%,73.47%,8/19/2024,134.07%,81.97%,,,
8/16/2021,346431.5128,0,1,0.75,2.05,0.165877435,FORCE_BUY,0.21,0.23,368.98,246.43%,73.55%,8/16/2021,246.43%,73.55%,8/20/2024,133.27%,81.59%,,,
8/17/2021,342477.6085,0,1,0.85,-0.5,0.191084061,FORCE_BUY,0.21,0.23,365.73,242.48%,72.02%,8/17/2021,242.48%,72.02%,8/21/2024,135.08%,82.43%,,,
8/18/2021,343473.1283,343473.1283,0,1,0.8,0.323454665,FORCE_SELL,0.175,0.195,362.21,243.47%,70.36%,8/18/2021,243.47%,70.36%,8/22/2024,133.61%,79.54%,,,
8/19/2021,343473.1283,343473.1283,0,1.25,2.35,0.225530161,FORCE_SELL,0.175,0.195,363.96,243.47%,71.19%,8/19/2021,243.47%,71.19%,8/23/2024,134.59%,81.49%,,,
8/20/2021,343473.1283,343473.1283,0,1.35,2.1,0.17946994,FORCE_BUY,0.21,0.23,367.73,243.47%,72.96%,8/20/2021,243.47%,72.96%,8/26/2024,132.88%,79.73%,,,
8/23/2021,343473.1283,343473.1283,0,1.35,2.1,0.196973293,FORCE_BUY,0.21,0.23,373.23,243.47%,75.55%,8/23/2021,243.47%,75.55%,8/27/2024,132.49%,80.26%,,,
8/24/2021,343684.2479,0,1,1.35,2.1,0.16322505,FORCE_BUY,0.21,0.23,374.37,243.68%,76.08%,8/24/2021,243.68%,76.08%,8/28/2024,129.24%,78.22%,,,
8/25/2021,343812.7554,0,1,0.85,-0.5,0.154065197,FORCE_BUY,0.21,0.23,374.8,243.81%,76.29%,8/25/2021,243.81%,76.29%,8/29/2024,133.17%,77.96%,,,
8/26/2021,343188.5759,343188.5759,0,0.6,1.1,0.25834567,FORCE_SELL,0.21,0.23,372.42,243.19%,75.17%,8/26/2021,243.19%,75.17%,8/30/2024,135.47%,80.08%,,,
8/27/2021,345448.2689,0,1,0.7,-0.2,0.167531801,FORCE_BUY,0.21,0.23,376.04,245.45%,76.87%,8/27/2021,245.45%,76.87%,9/3/2024,134.05%,74.61%,,,
8/30/2021,349352.21,0,1,0.7,-0.2,0.172699839,FORCE_BUY,0.175,0.195,380.26,249.35%,78.85%,8/30/2021,249.35%,78.85%,9/4/2024,134.62%,74.16%,,,
8/31/2021,352713.5611,0,1,-0.5,0.25,0.189955551,FREE,0.175,0.195,379.95,252.71%,78.71%,8/31/2021,252.71%,78.71%,9/5/2024,134.45%,74.32%,,,
9/1/2021,353325.7661,353325.7661,0,-0.5,-0.5,0.253605606,FORCE_SELL,0.175,0.195,380.58,253.33%,79.00%,9/1/2021,253.33%,79.00%,9/6/2024,130.80%,69.65%,,,
9/2/2021,353325.7661,353325.7661,0,-0.5,0.7,0.242408167,FORCE_SELL,0.175,0.195,380.4,253.33%,78.92%,9/2/2021,253.33%,78.92%,9/9/2024,135.11%,71.83%,,,
9/3/2021,353826.7268,0,1,1,0.35,0.173876497,FORCE_BUY,0.175,0.195,381.57,253.83%,79.47%,9/3/2021,253.83%,79.47%,9/10/2024,136.70%,73.42%,,,
9/7/2021,354207.0859,0,1,0.9,0.55,0.173045821,FORCE_BUY,0.175,0.195,382.11,254.21%,79.72%,9/7/2021,254.21%,79.72%,9/11/2024,137.24%,77.19%,,,
9/8/2021,354457.5663,354457.5663,0,1,0.55,0.209998582,FORCE_SELL,0.175,0.195,380.78,254.46%,79.10%,9/8/2021,254.46%,79.10%,9/12/2024,137.24%,78.92%,,,
9/9/2021,354457.5663,354457.5663,0,1.6,-0.5,0.291507508,FORCE_SELL,0.175,0.195,379.47,254.46%,78.48%,9/9/2021,254.46%,78.48%,9/13/2024,137.87%,79.73%,,,
9/10/2021,354457.5663,354457.5663,0,1.25,2.05,0.398761561,FORCE_SELL,0.175,0.195,376.59,254.46%,77.13%,9/10/2021,254.46%,77.13%,9/16/2024,137.16%,78.93%,,,
9/13/2021,354457.5663,354457.5663,0,1.45,-0.5,0.291519365,FORCE_SELL,0.21,0.23,376.33,254.46%,77.00%,9/13/2021,254.46%,77.00%,9/17/2024,137.55%,79.03%,,,
9/14/2021,354457.5663,354457.5663,0,1.5,1.7,0.267297373,FORCE_SELL,0.21,0.23,375.26,254.46%,76.50%,9/14/2021,254.46%,76.50%,9/18/2024,139.91%,78.25%,,,
9/15/2021,358717.1666,0,1,1.7,1.15,0.184215566,FORCE_BUY,0.21,0.23,378.05,258.72%,77.81%,9/15/2021,258.72%,77.81%,9/19/2024,140.64%,82.76%,,,
9/16/2021,358261.8922,0,1,1.45,2,0.169757496,FORCE_BUY,0.21,0.23,378.31,258.26%,77.94%,9/16/2021,258.26%,77.94%,9/20/2024,140.43%,82.41%,,,
9/17/2021,358223.8499,358223.8499,0,1.35,0.9,0.274136954,FORCE_SELL,0.21,0.23,373.83,258.22%,75.83%,9/17/2021,258.22%,75.83%,9/23/2024,140.74%,82.64%,,,
9/20/2021,358223.8499,358223.8499,0,2.3,-0.5,0.245180271,FORCE_SELL,0.21,0.23,365.7,258.22%,72.01%,9/20/2021,258.22%,72.01%,9/24/2024,142.14%,83.52%,,,
9/21/2021,358223.8499,358223.8499,0,2.1,-0.5,0.233992696,FORCE_SELL,0.21,0.23,366.15,258.22%,72.22%,9/21/2021,258.22%,72.22%,9/25/2024,143.30%,83.69%,,,
9/22/2021,358223.8499,358223.8499,0,2.1,2.25,0.196556548,FORCE_BUY,0.21,0.23,369.57,258.22%,73.83%,9/22/2021,258.22%,73.83%,9/26/2024,145.63%,85.07%,,,
9/23/2021,358223.8499,358223.8499,0,2.1,2.25,0.183040345,FORCE_BUY,0.21,0.23,372.98,258.22%,75.43%,9/23/2021,258.22%,75.43%,9/27/2024,145.63%,84.04%,,,
9/24/2021,358223.8499,358223.8499,0,1.1,1.8,0.156725395,FORCE_BUY,0.21,0.23,373.33,258.22%,75.59%,9/24/2021,258.22%,75.59%,9/30/2024,146.53%,84.54%,,,
9/27/2021,356248.5555,0,1,1.35,-0.5,0.161564175,FORCE_BUY,0.21,0.23,370.35,256.25%,74.19%,9/27/2021,256.25%,74.19%,10/1/2024,144.91%,81.97%,,,
9/28/2021,352751.1059,352751.1059,0,2.25,-0.5,0.351613793,FORCE_SELL,0.21,0.23,359.87,252.75%,69.26%,9/28/2021,252.75%,69.26%,10/2/2024,147.19%,82.23%,,,
9/29/2021,352751.1059,352751.1059,0,2.2,-0.5,0.249018097,FORCE_SELL,0.21,0.23,359.28,252.75%,68.99%,9/29/2021,252.75%,68.99%,10/3/2024,148.49%,82.09%,,,
9/30/2021,352751.1059,352751.1059,0,-0.5,-0.5,0.273015652,FORCE_SELL,0.21,0.23,357.96,252.75%,68.36%,9/30/2021,252.75%,68.36%,10/4/2024,150.39%,84.26%,,,
10/1/2021,356741.2025,0,1,-0.5,1.8,0.190341606,FORCE_BUY,0.21,0.23,360.18,256.74%,69.41%,10/1/2021,256.74%,69.41%,10/7/2024,149.14%,82.28%,,,
10/4/2021,354830.3642,354830.3642,0,2.25,-0.5,0.244959689,FORCE_SELL,0.21,0.23,352.62,254.83%,65.85%,10/4/2021,254.83%,65.85%,10/8/2024,152.72%,85.00%,,,
10/5/2021,354830.3642,354830.3642,0,2.25,-0.5,0.207112021,FORCE_BUY,0.21,0.23,357.38,254.83%,68.09%,10/5/2021,254.83%,68.09%,10/9/2024,154.90%,86.46%,,,
10/6/2021,363457.9991,0,1,-0.5,-0.5,0.160487682,FORCE_BUY,0.21,0.23,359.67,263.46%,69.17%,10/6/2021,263.46%,69.17%,10/10/2024,155.03%,86.25%,,,
10/7/2021,367142.6172,367142.6172,0,1.3,2.5,0.22061185,FREE,0.21,0.23,362.97,267.14%,70.72%,10/7/2021,267.14%,70.72%,10/11/2024,154.56%,86.54%,,,
10/8/2021,369470.6324,0,1,1.25,2.35,0.225233605,FREE,0.21,0.23,361.16,269.47%,69.87%,10/8/2021,269.47%,69.87%,10/14/2024,157.26%,88.10%,,,
10/11/2021,368395.5481,368395.5481,0,2.15,-0.5,0.258297621,FORCE_SELL,0.21,0.23,358.39,268.40%,68.57%,10/11/2021,268.40%,68.57%,10/15/2024,154.28%,85.59%,,,
10/12/2021,367528.006,367528.006,0,2.1,2.45,0.22407149,FREE,0.21,0.23,357.14,267.53%,67.98%,10/12/2021,267.53%,67.98%,10/16/2024,154.09%,85.61%,,,
10/13/2021,367528.006,367528.006,0,-0.5,1.8,0.153318415,FORCE_BUY,0.21,0.23,360,267.53%,69.32%,10/13/2021,267.53%,69.32%,10/17/2024,156.04%,85.74%,,,
10/14/2021,372331.3664,0,1,2.35,2.4,0.160596981,FORCE_BUY,0.21,0.23,366.63,272.33%,72.44%,10/14/2021,272.33%,72.44%,10/18/2024,156.41%,86.96%,,,
10/15/2021,374226.363,0,1,-0.5,1.8,0.142982284,FORCE_BUY,0.21,0.23,368.94,274.23%,73.53%,10/15/2021,274.23%,73.53%,10/21/2024,156.52%,87.32%,,,
10/18/2021,377763.0144,0,1,-0.5,1.8,0.167154899,FORCE_BUY,0.21,0.23,372.65,277.76%,75.27%,10/18/2021,277.76%,75.27%,10/22/2024,156.76%,87.52%,,,
10/19/2021,380661.2445,0,1,-0.5,1.8,0.140493231,FORCE_BUY,0.21,0.23,375.47,280.66%,76.60%,10/19/2021,280.66%,76.60%,10/23/2024,153.80%,84.65%,,,
10/20/2021,378847.3173,0,1,0.55,1.7,0.18791127,FORCE_BUY,0.21,0.23,374.98,278.85%,76.37%,10/20/2021,278.85%,76.37%,10/24/2024,153.80%,86.15%,,,
10/21/2021,380215.363,0,1,0.4,1.55,0.153130863,FORCE_BUY,0.21,0.23,377.27,280.22%,77.45%,10/21/2021,280.22%,77.45%,10/25/2024,153.23%,87.28%,,,
10/22/2021,380630.8435,380630.8435,0,1.25,-0.5,0.25100947,FORCE_SELL,0.21,0.23,374.1,280.63%,75.96%,10/22/2021,280.63%,75.96%,10/28/2024,155.87%,87.31%,,,
10/25/2021,380630.8435,380630.8435,0,1.25,-0.5,0.189486375,FORCE_BUY,0.21,0.23,377.93,280.63%,77.76%,10/25/2021,280.63%,77.76%,10/29/2024,156.49%,89.11%,,,
10/26/2021,380630.8435,380630.8435,0,1.25,-0.5,0.260737969,FORCE_SELL,0.185,0.23,379.12,280.63%,78.32%,10/26/2021,280.63%,78.32%,10/30/2024,153.13%,87.68%,,,
10/27/2021,380630.8435,380630.8435,0,1.25,-0.5,0.255615927,FORCE_SELL,0.185,0.23,380,280.63%,78.73%,10/27/2021,280.63%,78.73%,10/31/2024,148.83%,82.94%,,,
10/28/2021,379934.7192,0,1,1.25,-0.5,0.143986977,FORCE_BUY,0.17,0.23,384.22,279.93%,80.72%,10/28/2021,279.93%,80.72%,11/1/2024,150.39%,84.30%,,,
10/29/2021,384608.6969,0,1,-0.5,2.05,0.161486895,FORCE_BUY,0.17,0.23,386.11,284.61%,81.60%,10/29/2021,284.61%,81.60%,11/4/2024,150.85%,83.76%,,,
11/1/2021,384907.0359,0,1,2,-0.5,0.131722479,FORCE_BUY,0.17,0.23,387.43,284.91%,82.23%,11/1/2021,284.91%,82.23%,11/5/2024,154.72%,86.10%,,,
11/2/2021,386458.3987,0,1,1.65,1.95,0.135582854,FORCE_BUY,0.17,0.23,389.05,286.46%,82.99%,11/2/2021,286.46%,82.99%,11/6/2024,158.47%,91.16%,,,
11/3/2021,392385.4002,0,1,1.15,1.05,0.162879714,FORCE_BUY,0.17,0.23,393.18,292.39%,84.93%,11/3/2021,292.39%,84.93%,11/7/2024,158.47%,94.17%,,,
11/4/2021,394030.2797,394030.2797,0,1.35,1.65,0.178000486,FREE,0.17,0.23,398.22,294.03%,87.30%,11/4/2021,294.03%,87.30%,11/8/2024,158.47%,94.40%,,,
11/5/2021,393901.6733,0,1,1.4,1.3,0.205221245,FREE,0.185,0.23,398.6,293.90%,87.48%,11/5/2021,293.90%,87.48%,11/11/2024,158.47%,94.28%,,,
11/8/2021,394619.8295,0,1,-0.5,-0.5,0.192028856,FREE,0.185,0.23,398.06,294.62%,87.23%,11/8/2021,294.62%,87.23%,11/12/2024,158.36%,93.93%,,,
11/9/2021,395792.4891,395792.4891,0,2.45,0.9,0.234282794,FORCE_SELL,0.185,0.23,395.32,295.79%,85.94%,11/9/2021,295.79%,85.94%,11/13/2024,158.46%,93.68%,,,
11/10/2021,395792.4891,395792.4891,0,2.45,1.1,0.267151633,FORCE_SELL,0.185,0.23,389.51,295.79%,83.20%,11/10/2021,295.79%,83.20%,11/14/2024,159.10%,92.34%,,,
11/11/2021,396420.3132,396420.3132,0,1.9,-0.5,0.207235196,FREE,0.185,0.23,390.59,296.42%,83.71%,11/11/2021,296.42%,83.71%,11/15/2024,159.10%,87.75%,,,
11/12/2021,399882.7646,0,1,2,1.95,0.157957937,FORCE_BUY,0.185,0.23,394.7,299.88%,85.65%,11/12/2021,299.88%,85.65%,11/18/2024,160.36%,89.06%,,,
11/15/2021,399649.9097,0,1,2,1.95,0.157434107,FORCE_BUY,0.185,0.23,394.61,299.65%,85.60%,11/15/2021,299.65%,85.60%,11/19/2024,161.16%,90.36%,,,
11/16/2021,402454.2929,0,1,-0.5,0.5,0.139451012,FORCE_BUY,0.185,0.23,397.42,302.45%,86.92%,11/16/2021,302.45%,86.92%,11/20/2024,161.16%,90.25%,,,
11/17/2021,403051.6164,0,1,0.6,1.9,0.183285845,FORCE_BUY,0.185,0.23,397.63,303.05%,87.02%,11/17/2021,303.05%,87.02%,11/21/2024,164.21%,90.93%,,,
