date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level
2016-01-12,311510.6549925578,311510.6549925578,0,-0.5,-0.5,0.3039411129747985,FREE,0.25,0.305
2016-01-13,311510.6549925578,311510.6549925578,0,1.7499999999999996,-0.5,0.41420460643709806,FORCE_SELL,0.25,0.305
2016-01-14,317234.4655848615,317234.4655848615,0,2.0499999999999994,-0.5,0.27422963696510155,FREE,0.25,0.305
2016-01-15,312927.8349845787,0.0,1,2.4499999999999993,-0.5,0.21714655885062986,FORCE_BUY,0.25,0.305
2016-01-19,320415.1558123326,0.0,1,-0.5,-0.5,0.28912716393412236,FREE,0.21,0.305
2016-01-20,314461.2302399074,314461.2302399074,0,-0.5,-0.5,0.2432134478685566,FREE,0.21,0.305
2016-01-21,316149.7032104413,0.0,1,-0.5,-0.5,0.2903818835094599,FREE,0.25,0.305
2016-01-22,324516.2564343734,0.0,1,-0.5,-0.5,0.2482564607234002,FORCE_BUY,0.25,0.305
2016-01-25,323248.21781269356,323248.21781269356,0,2.499999999999999,-0.5,0.3529482552838281,FORCE_SELL,0.25,0.305
2016-01-26,324142.44314242125,324142.44314242125,0,1.5999999999999996,-0.5,0.2751326497503798,FREE,0.25,0.305
2016-01-27,324142.44314242125,324142.44314242125,0,2.4499999999999993,-0.5,0.36475763931925886,FORCE_SELL,0.25,0.305
2016-01-28,327338.13368214,0.0,1,1.6499999999999995,-0.5,0.2811790162951833,FREE,0.25,0.305
2016-01-29,332623.01044424274,332623.01044424274,0,2.0999999999999996,-0.5,0.29155870565235814,FREE,0.25,0.305
2016-02-01,332623.01044424274,332623.01044424274,0,2.0999999999999996,-0.5,0.31438376313443195,FORCE_SELL,0.25,0.305
2016-02-02,332623.01044424274,332623.01044424274,0,2.3999999999999995,-0.5,0.3310214931607113,FORCE_SELL,0.25,0.305
2016-02-03,332623.01044424274,332623.01044424274,0,2.4499999999999993,-0.5,0.3594377901530191,FORCE_SELL,0.25,0.305
2016-02-04,332623.01044424274,332623.01044424274,0,2.499999999999999,-0.5,0.3065471350303111,FORCE_SELL,0.25,0.305
2016-02-05,332623.01044424274,332623.01044424274,0,2.4499999999999993,-0.5,0.31711104519450956,FORCE_SELL,0.25,0.31
2016-02-08,329868.11329305824,0.0,1,2.4499999999999993,-0.5,0.1788526152980694,FORCE_BUY,0.25,0.31
2016-02-09,332204.1288748635,0.0,1,-0.5,-0.5,0.2636222801400217,FREE,0.25,0.31
2016-02-10,331928.4218022193,0.0,1,-0.5,-0.5,0.29556554251951855,FREE,0.25,0.31
2016-02-11,334410.6451476451,0.0,1,-0.5,2.2999999999999994,0.23376790033193717,FORCE_BUY,0.25,0.31
2016-02-12,337858.1775718476,0.0,1,-0.5,2.2499999999999996,0.18733133819171366,FORCE_BUY,0.25,0.31
2016-02-16,345890.9281202395,0.0,1,-0.5,2.2499999999999996,0.18476245849638553,FORCE_BUY,0.25,0.31
2016-02-17,353992.62931711547,0.0,1,-0.5,-0.5,0.21773825814306735,FORCE_BUY,0.25,0.31
2016-02-18,349372.59111544164,0.0,1,1.9999999999999996,-0.5,0.24846194685576237,FORCE_BUY,0.25,0.31
2016-02-19,350234.8189747347,0.0,1,2.0999999999999996,-0.5,0.2101645140259385,FORCE_BUY,0.245,0.31
2016-02-22,354165.0059383256,0.0,1,2.3999999999999995,-0.5,0.219909625962201,FORCE_BUY,0.245,0.31
2016-02-23,354302.90723529365,354302.90723529365,0,2.4499999999999993,1.5499999999999994,0.32040017084125666,FORCE_SELL,0.245,0.31
2016-02-24,355848.08791904355,355848.08791904355,0,2.1999999999999993,-0.5,0.2888640743271878,FREE,0.245,0.31
2016-02-25,360999.25351098593,0.0,1,-0.5,1.1499999999999997,0.23782823981729195,FORCE_BUY,0.245,0.31
2016-02-26,363609.6414798756,363609.6414798756,0,2.1499999999999995,-0.5,0.3204438008257464,FORCE_SELL,0.245,0.31
2016-02-29,363609.6414798756,363609.6414798756,0,-0.5,-0.5,0.3547673052864813,FORCE_SELL,0.245,0.31
2016-03-01,363609.6414798756,363609.6414798756,0,-0.5,-0.5,0.2907637644124767,FREE,0.245,0.31
2016-03-02,364990.4812842234,0.0,1,-0.5,-0.5,0.2128257874382775,FORCE_BUY,0.245,0.31
2016-03-03,364196.4983967234,0.0,1,1.6499999999999995,-0.5,0.22526403079660043,FORCE_BUY,0.245,0.31
2016-03-04,363093.69323408336,0.0,1,1.4999999999999996,-0.5,0.2730360883456259,FREE,0.245,0.31
2016-03-07,360821.3450685752,0.0,1,1.4999999999999996,-0.5,0.24000750014155495,FORCE_BUY,0.245,0.31
2016-03-08,361027.92217453045,361027.92217453045,0,2.499999999999999,-0.5,0.29392312176283425,FREE,0.245,0.31
2016-03-09,361027.92217453045,361027.92217453045,0,1.5999999999999996,1.9499999999999993,0.21493081363612843,FORCE_BUY,0.245,0.31
2016-03-10,360202.40101102163,0.0,1,1.8499999999999996,2.349999999999999,0.30969223608014246,FREE,0.245,0.31
2016-03-11,365843.4622949987,0.0,1,2.4499999999999993,-0.5,0.21241547054355706,FORCE_BUY,0.245,0.31
2016-03-14,365224.32142236707,365224.32142236707,0,2.4499999999999993,-0.5,0.2529837605325934,FREE,0.245,0.31
2016-03-15,365224.32142236707,365224.32142236707,0,-0.5,2.0999999999999996,0.2268396419376442,FORCE_BUY,0.245,0.31
2016-03-16,365224.32142236707,365224.32142236707,0,-0.5,2.0999999999999996,0.27657933428314624,FREE,0.245,0.31
2016-03-17,365224.32142236707,365224.32142236707,0,-0.5,2.0999999999999996,0.26130772041719197,FREE,0.245,0.31
2016-03-18,366033.83714503684,0.0,1,1.3999999999999995,-0.5,0.259754271719311,FREE,0.245,0.31
2016-03-21,367433.6841703243,367433.6841703243,0,-0.5,1.5499999999999994,0.2764729376621784,FREE,0.245,0.31
2016-03-22,370690.3213689398,370690.3213689398,0,1.4499999999999995,1.4499999999999995,0.3013802694228079,FREE,0.245,0.31
2016-03-23,370690.3213689398,370690.3213689398,0,-0.5,1.7499999999999996,0.342699320435887,FORCE_SELL,0.245,0.31
2016-03-24,372147.2737830794,372147.2737830794,0,1.8499999999999996,1.4499999999999995,0.27955316631516935,FREE,0.245,0.31
2016-03-28,372147.2737830794,372147.2737830794,0,-0.5,1.9499999999999993,0.3291264309168163,FORCE_SELL,0.245,0.31
2016-03-29,372147.2737830794,372147.2737830794,0,1.6999999999999993,2.0499999999999994,0.3458274927126903,FORCE_SELL,0.245,0.31
2016-03-30,372147.2737830794,372147.2737830794,0,2.1499999999999995,2.4499999999999993,0.35318164176027506,FORCE_SELL,0.245,0.31
2016-03-31,372147.2737830794,372147.2737830794,0,1.3999999999999995,-0.5,0.3477374469191424,FORCE_SELL,0.245,0.31
2016-04-01,372147.2737830794,372147.2737830794,0,1.6499999999999995,2.499999999999999,0.3695429995786886,FORCE_SELL,0.245,0.31
2016-04-04,372147.2737830794,372147.2737830794,0,1.5499999999999994,-0.5,0.3409401973719797,FORCE_SELL,0.245,0.31
2016-04-05,372147.2737830794,372147.2737830794,0,1.7999999999999994,-0.5,0.3526603800522303,FORCE_SELL,0.245,0.31
2016-04-06,372147.2737830794,372147.2737830794,0,1.7499999999999996,2.1999999999999993,0.33464208086920033,FORCE_SELL,0.245,0.31
2016-04-07,372147.2737830794,372147.2737830794,0,1.6999999999999993,-0.5,0.4084334543591867,FORCE_SELL,0.245,0.31
2016-04-08,372147.2737830794,372147.2737830794,0,1.4499999999999995,1.2999999999999996,0.35959200781986334,FORCE_SELL,0.245,0.31
2016-04-11,372147.2737830794,372147.2737830794,0,2.4499999999999993,-0.5,0.4257283905142599,FORCE_SELL,0.245,0.31
2016-04-12,372147.2737830794,372147.2737830794,0,1.8499999999999996,1.8999999999999995,0.3291029795551372,FORCE_SELL,0.245,0.31
2016-04-13,372180.8186968872,0.0,1,1.5999999999999996,2.1499999999999995,0.3066444752255331,FREE,0.245,0.31
2016-04-14,372080.18395546393,0.0,1,0.9499999999999997,1.5999999999999996,0.33095489692466457,FORCE_SELL,0.245,0.31
2016-04-15,372174.1097141256,372174.1097141256,0,0.9499999999999997,1.5999999999999996,0.3240201722358331,FORCE_SELL,0.245,0.31
2016-04-18,375176.84256014036,375176.84256014036,0,-0.5,1.7499999999999996,0.3093636819462234,FREE,0.245,0.31
2016-04-19,375176.84256014036,375176.84256014036,0,2.0499999999999994,1.9999999999999996,0.37196175284064514,FORCE_SELL,0.245,0.31
2016-04-20,375176.84256014036,375176.84256014036,0,1.7499999999999996,-0.5,0.34806230000414945,FORCE_SELL,0.245,0.31
2016-04-21,375176.84256014036,375176.84256014036,0,1.2499999999999996,-0.5,0.3553816140498222,FORCE_SELL,0.245,0.31
2016-04-22,375176.84256014036,375176.84256014036,0,2.1499999999999995,-0.5,0.3401521142151562,FORCE_SELL,0.245,0.31
2016-04-25,376250.5576745573,376250.5576745573,0,2.1499999999999995,-0.5,0.2855446317967579,FREE,0.245,0.31
2016-04-26,376250.5576745573,376250.5576745573,0,2.3999999999999995,0.8999999999999997,0.3593196570720418,FORCE_SELL,0.245,0.31
2016-04-27,376250.5576745573,376250.5576745573,0,2.349999999999999,0.7499999999999998,0.321044429301274,FORCE_SELL,0.245,0.31
2016-04-28,376250.5576745573,376250.5576745573,0,2.2999999999999994,1.2499999999999996,0.46558132946373115,FORCE_SELL,0.245,0.31
2016-04-29,376250.5576745573,376250.5576745573,0,2.3999999999999995,1.8499999999999996,0.33543584522267333,FORCE_SELL,0.245,0.31
2016-05-02,376250.5576745573,376250.5576745573,0,2.3999999999999995,1.8499999999999996,0.3376720427863162,FORCE_SELL,0.28,0.31
2016-05-03,376250.5576745573,376250.5576745573,0,-0.5,-0.5,0.3759206200518173,FORCE_SELL,0.28,0.31
2016-05-04,375074.8860143679,0.0,1,-0.5,-0.5,0.27268553811482743,FORCE_BUY,0.28,0.31
2016-05-05,377390.60292080167,377390.60292080167,0,1.6499999999999995,-0.5,0.33810581635038917,FORCE_SELL,0.26,0.31
2016-05-06,381594.8587410525,0.0,1,1.5999999999999996,-0.5,0.22013282868756004,FORCE_BUY,0.26,0.31
2016-05-09,382677.49972480815,382677.49972480815,0,1.5999999999999996,-0.5,0.3231870992922136,FORCE_SELL,0.26,0.31
2016-05-10,382677.49972480815,382677.49972480815,0,1.5999999999999996,-0.5,0.2844676718504822,FREE,0.26,0.31
2016-05-11,382677.49972480815,382677.49972480815,0,1.2499999999999996,-0.5,0.38776684925715194,FORCE_SELL,0.26,0.31
2016-05-12,382677.49972480815,382677.49972480815,0,1.4499999999999995,1.9999999999999996,0.35983388144531325,FORCE_SELL,0.26,0.31
2016-05-13,382677.49972480815,382677.49972480815,0,1.3499999999999996,2.0999999999999996,0.38566375570549005,FORCE_SELL,0.26,0.31
2016-05-16,382677.49972480815,382677.49972480815,0,1.3499999999999996,2.0999999999999996,0.3488082189510924,FORCE_SELL,0.26,0.31
2016-05-17,382677.49972480815,382677.49972480815,0,1.3499999999999996,2.0999999999999996,0.42075582418404717,FORCE_SELL,0.26,0.31
2016-05-18,382677.49972480815,382677.49972480815,0,0.7999999999999998,-0.5,0.3682886334121415,FORCE_SELL,0.26,0.31
2016-05-19,382677.49972480815,382677.49972480815,0,0.9999999999999996,-0.5,0.3294574697479787,FORCE_SELL,0.26,0.31
2016-05-20,382677.49972480815,382677.49972480815,0,2.499999999999999,2.4499999999999993,0.3204224183687688,FORCE_SELL,0.26,0.31
2016-05-23,382677.49972480815,382677.49972480815,0,1.0499999999999996,2.499999999999999,0.34998872692998056,FORCE_SELL,0.26,0.31
2016-05-24,382677.49972480815,382677.49972480815,0,1.2999999999999996,2.349999999999999,0.3242655359254926,FORCE_SELL,0.26,0.31
2016-05-25,383906.92560382053,0.0,1,1.2499999999999996,-0.5,0.3030653300988629,FREE,0.26,0.31
2016-05-26,384645.27576754254,384645.27576754254,0,0.34999999999999987,-0.5,0.27062411554777105,FREE,0.26,0.31
2016-05-27,385906.6375754886,0.0,1,0.2999999999999998,-0.5,0.26034871951129834,FORCE_BUY,0.295,0.315
2016-05-31,387119.905376968,0.0,1,0.2999999999999998,-0.5,0.3119309416645924,FREE,0.295,0.315
2016-06-01,388849.5308053617,0.0,1,2.1999999999999993,1.4999999999999996,0.3077393423246126,FREE,0.295,0.315
2016-06-02,389976.8351164481,0.0,1,2.1999999999999993,1.3499999999999996,0.29246349851684555,FORCE_BUY,0.295,0.315
2016-06-03,388814.30254564027,388814.30254564027,0,2.3999999999999995,2.1999999999999993,0.3209328428697794,FORCE_SELL,0.295,0.315
2016-06-06,388814.30254564027,388814.30254564027,0,2.3999999999999995,2.1999999999999993,0.2995810490786138,FREE,0.295,0.315
2016-06-07,388814.30254564027,388814.30254564027,0,1.4999999999999996,-0.5,0.35708941588204257,FORCE_SELL,0.295,0.315
2016-06-08,389520.53141231113,0.0,1,1.3999999999999995,1.9499999999999993,0.276705536175191,FORCE_BUY,0.295,0.315
2016-06-09,388884.92543230735,0.0,1,-0.5,1.2999999999999996,0.27047014208207504,FORCE_BUY,0.29,0.315
2016-06-10,384718.1751189493,0.0,1,2.349999999999999,-0.5,0.3792224787700536,FORCE_SELL,0.29,0.315
2016-06-13,383199.78305560694,383199.78305560694,0,2.349999999999999,-0.5,0.4266136177544384,FORCE_SELL,0.29,0.315
2016-06-14,383413.0470105586,383413.0470105586,0,2.0499999999999994,0.7499999999999998,0.3112048499079541,FREE,0.29,0.315
2016-06-15,383413.0470105586,383413.0470105586,0,2.0999999999999996,0.8999999999999997,0.3890467982809079,FORCE_SELL,0.29,0.315
2016-06-16,384595.9780643496,384595.9780643496,0,2.499999999999999,1.7999999999999994,0.3073399781827171,FREE,0.29,0.33
2016-06-17,382689.5445778728,0.0,1,2.0999999999999996,2.0999999999999996,0.2867524367684166,FORCE_BUY,0.31,0.33
2016-06-20,385531.20958601753,0.0,1,2.0999999999999996,-0.5,0.3647252484380074,FORCE_SELL,0.31,0.33
2016-06-21,385567.18002915854,0.0,1,1.1999999999999997,-0.5,0.27286624173375623,FORCE_BUY,0.31,0.33
2016-06-22,386286.58889198,386286.58889198,0,0.9499999999999997,1.6999999999999993,0.41162837762959664,FORCE_SELL,0.31,0.33
2016-06-23,387749.25514101685,0.0,1,0.4999999999999998,2.1999999999999993,0.27693340916988163,FORCE_BUY,0.31,0.33
2016-06-24,374299.8606071901,374299.8606071901,0,1.2499999999999996,-0.5,0.44268954270677535,FORCE_SELL,0.31,0.33
2016-06-27,371440.62483642646,0.0,1,-0.5,-0.5,0.315700305317397,FREE,0.31,0.33
2016-06-28,379356.7511649376,0.0,1,-0.5,2.499999999999999,0.294128397322912,FORCE_BUY,0.31,0.33
2016-06-29,386909.7524325079,0.0,1,-0.5,2.499999999999999,0.3073466588458668,FORCE_BUY,0.31,0.33
2016-06-30,389596.8778834705,0.0,1,-0.5,2.499999999999999,0.30264049975097324,FORCE_BUY,0.31,0.33
2016-07-01,389923.69043831725,389923.69043831725,0,-0.5,1.1499999999999997,0.3342827506033954,FORCE_SELL,0.31,0.33
2016-07-05,389669.68513314275,0.0,1,2.2499999999999996,-0.5,0.3231164891458614,FREE,0.31,0.335
2016-07-06,388144.8433577219,388144.8433577219,0,2.2499999999999996,-0.5,0.364946595464011,FORCE_SELL,0.31,0.335
2016-07-07,388144.8433577219,388144.8433577219,0,2.2499999999999996,-0.5,0.3817180701392786,FORCE_SELL,0.31,0.335
2016-07-08,388144.8433577219,388144.8433577219,0,2.2499999999999996,-0.5,0.35468065099989127,FORCE_SELL,0.31,0.335
