Date,Price,Open,High,Low,Change %
5/23/2023,-62.45,-60.3,-60.06,-66.23,3.57%
5/22/2023,-60.3,-59.84,-57.38,-62.07,0.77%
5/19/2023,-59.84,-61.26,-55.55,-64.42,-2.32%
5/18/2023,-61.26,-59.05,-57.33,-63.36,3.74%
5/17/2023,-59.05,-54.47,-45.19,-61.55,8.41%
5/16/2023,-54.47,-50.48,-49.44,-55.69,7.90%
5/15/2023,-50.48,-53.08,-48.94,-54.15,-4.90%
5/12/2023,-53.08,-51.3,-49.11,-56.16,3.05%
5/11/2023,-51.51,-47.29,-45.76,-52.11,8.92%
5/10/2023,-47.29,-50.77,-44.33,-57.61,-6.85%
5/9/2023,-50.77,-49.59,-47.97,-54.73,2.38%
5/8/2023,-49.59,-48.49,-45.92,-50.98,2.27%
5/5/2023,-48.49,-41.33,-40.56,-49.39,17.32%
5/4/2023,-41.33,-50.48,-36.06,-59.23,-17.78%
5/3/2023,-50.27,-55.87,-46.38,-58.38,-10.38%
5/2/2023,-56.09,-57.47,-49.89,-60.65,-2.04%
5/1/2023,-57.26,-58.74,-53.95,-64.27,-2.85%
4/28/2023,-58.94,-55.45,-54.18,-62.17,6.29%
4/27/2023,-55.45,-50.6,-49.1,-57.77,9.58%
4/26/2023,-50.6,-55.03,-48.66,-55.03,-8.05%
4/25/2023,-55.03,-61.14,-52.46,-63.53,-9.99%
4/24/2023,-61.14,-61.34,-60.05,-64.02,-0.33%
4/21/2023,-61.34,-61.71,-57.51,-63.23,-0.60%
4/20/2023,-61.71,-65.91,-60.91,-66.57,-6.37%
4/19/2023,-65.91,-62.75,-62.25,-67.24,5.04%
4/18/2023,-62.75,-60.06,-57.48,-64.44,4.48%
4/17/2023,-60.06,-58.61,-58.61,-64.3,2.47%
4/14/2023,-58.61,-52.34,-51.38,-61.8,11.98%
4/13/2023,-52.34,-57.02,-51.02,-58.19,-8.21%
4/12/2023,-57.02,-60.3,-53.53,-64.01,-5.44%
4/11/2023,-60.3,-59.67,-57.27,-63.2,1.06%
4/10/2023,-59.67,-58.18,-54.52,-61.42,2.56%
4/7/2023,-58.18,-52.94,-52.36,-60.35,9.90%
4/6/2023,-52.94,-48.51,-42.81,-55.06,9.13%
4/5/2023,-48.51,-48.43,-38.4,-52.86,0.17%
4/4/2023,-48.43,-55.64,-45.56,-57.09,-12.96%
4/3/2023,-55.64,-56.83,-54.19,-61.75,-1.73%
3/31/2023,-56.62,-57.65,-54.62,-61.85,-1.79%
3/30/2023,-57.65,-53.71,-49.79,-58.36,7.34%
3/29/2023,-53.71,-51.27,-46.88,-54.62,4.76%
3/28/2023,-51.27,-47.23,-39.6,-52.92,8.55%
3/27/2023,-47.23,-39.8,-38.15,-50.6,18.67%
3/24/2023,-39.8,-41.48,-26.53,-45.32,-4.05%
3/23/2023,-41.48,-51.25,-38.35,-51.65,-19.06%
3/22/2023,-51.25,-57.56,-45.56,-69.93,-10.64%
3/21/2023,-57.35,-48.86,-48.19,-60.77,17.38%
3/20/2023,-48.86,-41.16,-32.87,-52.71,18.71%
3/17/2023,-41.16,-59.88,-39.1,-66.68,-31.26%
3/16/2023,-59.88,-43.31,-40.08,-72.15,38.26%
3/15/2023,-43.31,-56.46,-29.03,-71.62,-23.29%
3/14/2023,-56.46,-47.68,-37.01,-77.16,18.94%
3/13/2023,-47.47,-89.19,-40.1,-89.19,-46.78%
3/10/2023,-89.19,-96.48,-87.29,-105.25,-7.56%
3/9/2023,-96.48,-108.28,-95.89,-109.06,-10.90%
3/8/2023,-108.28,-104.92,-103.69,-111,3.20%
3/7/2023,-104.92,-92.64,-91.17,-105.34,13.26%
3/6/2023,-92.64,-90.5,-88.88,-96.21,2.36%
3/3/2023,-90.5,-83.16,-82.59,-90.9,8.83%
3/2/2023,-83.16,-88.6,-81.13,-90.83,-6.14%
3/1/2023,-88.6,-89.4,-87.16,-91.2,-0.89%
2/28/2023,-89.4,-86.25,-83.79,-90.4,3.65%
2/27/2023,-86.25,-86.84,-85.12,-89.94,-0.68%
2/24/2023,-86.84,-81.51,-80.96,-88.28,6.54%
2/23/2023,-81.51,-77.4,-74.52,-82.96,5.31%
2/22/2023,-77.4,-77.84,-73.12,-78.37,-0.57%
2/21/2023,-77.84,-80.21,-76.85,-84.28,-2.95%
2/17/2023,-80.21,-78.35,-77.51,-82.1,2.37%
2/16/2023,-78.35,-83.2,-77.3,-84.92,-5.83%
2/15/2023,-83.2,-87.07,-80.39,-92.37,-4.44%
2/14/2023,-87.07,-82.01,-80.51,-89.52,6.17%
2/13/2023,-82.01,-78.39,-76.84,-83.72,4.62%
2/10/2023,-78.39,-82.24,-76.21,-83.35,-4.68%
2/9/2023,-82.24,-81.57,-80.52,-87.57,0.82%
2/8/2023,-81.57,-78.92,-77.39,-82.02,3.36%
2/7/2023,-78.92,-83.45,-78.04,-91.64,-5.43%
2/6/2023,-83.45,-76.93,-76.93,-84.73,8.48%
2/3/2023,-76.93,-70.19,-69.75,-78.54,9.60%
2/2/2023,-70.19,-68.54,-67.33,-72.63,2.41%
2/1/2023,-68.54,-69.83,-67.62,-76.87,-1.85%
1/31/2023,-69.83,-69.99,-67.76,-72.21,-0.23%
1/30/2023,-69.99,-69.58,-68.41,-72.86,0.59%
1/27/2023,-69.58,-68.49,-65.74,-70.33,1.59%
1/26/2023,-68.49,-68.43,-66.25,-72.52,0.09%
1/25/2023,-68.43,-75.76,-65.81,-75.76,-9.68%
1/24/2023,-75.76,-71.25,-70.04,-76.54,6.33%
1/23/2023,-71.25,-69.79,-67.06,-72.08,2.09%
1/20/2023,-69.79,-73.16,-68.44,-75.3,-4.61%
1/19/2023,-73.16,-71.3,-68.91,-74.1,2.61%
1/18/2023,-71.3,-65.71,-64.63,-72.36,8.51%
1/17/2023,-65.71,-72.94,-65.16,-74.63,-9.91%
1/13/2023,-72.94,-70.29,-66.4,-74.26,3.77%
1/12/2023,-70.29,-67.9,-61.78,-85.85,3.52%
1/11/2023,-67.9,-63.39,-63.02,-69.13,7.11%
1/10/2023,-63.39,-68.3,-62.47,-69.09,-7.19%
1/9/2023,-68.3,-70.16,-65.64,-71.4,-2.65%
1/6/2023,-70.16,-74.38,-67.5,-79.17,-5.67%
1/5/2023,-74.38,-66.72,-66.72,-75.26,11.48%
1/4/2023,-66.72,-63.01,-61.21,-74.1,5.89%
1/3/2023,-63.01,-54.91,-54.91,-67.51,14.31%
12/30/2022,-55.12,-54.73,-52.4,-58.06,0.71%
12/29/2022,-54.73,-47.28,-47.28,-55.3,15.76%
12/28/2022,-47.28,-53.78,-47.05,-53.78,-12.09%
12/27/2022,-53.78,-57.85,-52.9,-60.99,-7.04%
12/23/2022,-57.85,-59.58,-57.11,-61.37,-2.90%
12/22/2022,-59.58,-55.2,-54.36,-60.61,7.93%
12/21/2022,-55.2,-57.59,-53.03,-58.15,-4.15%
12/20/2022,-57.59,-67.77,-56.76,-67.77,-15.02%
12/19/2022,-67.77,-69.85,-64.11,-71.53,-2.98%
12/16/2022,-69.85,-79.23,-68.81,-79.23,-11.84%
12/15/2022,-79.23,-74.03,-72.59,-81.16,7.02%
12/14/2022,-74.03,-71.47,-65.98,-77.51,3.58%
12/13/2022,-71.47,-76.65,-69.7,-89.36,-7.01%
12/12/2022,-76.86,-75.84,-75.84,-81.37,1.34%
12/9/2022,-75.84,-82.65,-74.46,-84.42,-8.24%
12/8/2022,-82.65,-84.57,-80.96,-86.02,-2.27%
12/7/2022,-84.57,-83.68,-79.56,-85.24,1.06%
12/6/2022,-83.68,-81.48,-78.73,-84.89,2.70%
12/5/2022,-81.48,-79.61,-74.37,-82.71,2.35%
12/2/2022,-79.61,-72.92,-66.85,-80,9.17%
12/1/2022,-72.92,-71.96,-69.9,-75.61,1.33%
11/30/2022,-71.96,-73.36,-67.27,-77.01,-1.91%
11/29/2022,-73.36,-76.68,-72.18,-78.1,-4.33%
11/28/2022,-76.68,-77.83,-74.9,-80.74,-1.48%
11/25/2022,-77.83,-78.6,-74.4,-79.01,-0.98%
11/23/2022,-78.6,-76.68,-72.38,-84.01,2.50%
11/22/2022,-76.68,-72.49,-69.02,-77.58,5.78%
11/21/2022,-72.49,-70.38,-69.69,-75.53,3.00%
11/18/2022,-70.38,-69.48,-65.68,-71.33,1.30%
11/17/2022,-69.48,-67.75,-62.8,-71.24,2.55%
11/16/2022,-67.75,-56.93,-54.78,-68.48,19.01%
11/15/2022,-56.93,-53.82,-51.92,-59.44,5.78%
11/14/2022,-53.82,-52.12,-49,-60.94,3.26%
11/10/2022,-52.12,-48.51,-42.27,-52.95,7.44%
11/9/2022,-48.51,-53.14,-47.05,-55.04,-8.71%
11/8/2022,-53.14,-51.24,-48.9,-56.3,3.71%
11/7/2022,-51.24,-50,-50,-56.29,2.48%
11/4/2022,-50,-57.11,-48.74,-61.96,-12.45%
11/3/2022,-57.11,-51.92,-51.27,-102.03,10.00%
11/2/2022,-51.92,-50.49,-45.68,-53.38,2.83%
11/1/2022,-50.49,-44.5,-42.61,-50.9,15.09%
10/31/2022,-43.87,-40.4,-40.4,-47.42,8.03%
10/28/2022,-40.61,-35.74,-34.82,-42.88,13.63%
10/27/2022,-35.74,-41.35,-34.52,-43.61,-13.57%
10/26/2022,-41.35,-37.7,-36.16,-43.2,9.68%
10/25/2022,-37.7,-26.44,-26.23,-39.79,42.59%
10/24/2022,-26.44,-26.63,-23.28,-31.89,-0.71%
10/21/2022,-26.63,-38.39,-25.11,-42.66,-30.63%
10/20/2022,-38.39,-42.5,-37.34,-46.28,-9.67%
10/19/2022,-42.5,-42.62,-40.52,-45.2,-0.28%
10/18/2022,-42.62,-43.92,-40,-46.35,-2.96%
10/17/2022,-43.92,-47.55,-43.09,-52.08,-7.63%
10/14/2022,-47.55,-51.8,-46.2,-55.68,-8.20%
10/13/2022,-51.8,-39.71,-38.51,-53.07,30.45%
10/12/2022,-39.71,-37.32,-33.58,-40.11,6.40%
10/11/2022,-37.32,-42.65,-33.4,-44.53,-12.50%
10/10/2022,-42.65,-42.65,-42.65,-42.65,0.00%
10/7/2022,-42.65,-43.22,-40.6,-47.11,-1.32%
10/6/2022,-43.22,-39.33,-37.23,-44.26,9.89%
10/5/2022,-39.33,-46.58,-38.75,-47.54,-15.56%
10/4/2022,-46.58,-47.28,-41.51,-49.38,-1.48%
10/3/2022,-47.28,-44.6,-33.97,-48.3,6.01%
9/30/2022,-44.6,-41.49,-39.19,-48.97,7.50%
9/29/2022,-41.49,-39.35,-35.67,-47.73,5.44%
9/28/2022,-39.35,-34,-23.29,-41.41,15.74%
9/27/2022,-34,-41.85,-32.77,-44.74,-18.76%
9/26/2022,-41.85,-51.86,-41.17,-55.82,-19.30%
9/23/2022,-51.86,-41.21,-40.85,-54.66,25.84%
9/22/2022,-41.21,-52.73,-40.22,-57.85,-21.85%
9/21/2022,-52.73,-40.57,-39.02,-53.71,29.97%
9/20/2022,-40.57,-45.6,-38.08,-47.8,-11.03%
9/19/2022,-45.6,-41.8,-41.77,-48.14,9.09%
9/16/2022,-41.8,-41.74,-40.69,-47.39,0.14%
9/15/2022,-41.74,-38.77,-37.15,-42.01,7.66%
9/14/2022,-38.77,-33.56,-32.95,-39.22,15.52%
9/13/2022,-33.56,-21.98,-20.39,-35.79,52.68%
9/12/2022,-21.98,-24.92,-20.13,-25.97,-11.80%
9/9/2022,-24.92,-19.1,-19.1,-26.05,30.47%
9/8/2022,-19.1,-17.39,-16.43,-24.3,9.83%
9/7/2022,-17.39,-15.79,-13.93,-20.8,10.13%
9/6/2022,-15.79,-20.24,-15.1,-25.76,-21.99%
9/5/2022,-20.24,-20.24,-20.24,-20.24,0.00%
9/2/2022,-20.24,-26.07,-18.67,-26.42,-22.36%
9/1/2022,-26.07,-30.05,-24.1,-30.89,-13.24%
8/31/2022,-30.05,-34.8,-29.67,-36.4,-13.65%
8/30/2022,-34.8,-32.16,-31.74,-38.64,8.21%
8/29/2022,-32.16,-35.64,-29.53,-39.45,-9.76%
8/26/2022,-35.64,-34.68,-30.14,-39.39,3.39%
8/25/2022,-34.47,-29.52,-25.53,-35.45,16.77%
8/24/2022,-29.52,-24.64,-23.91,-30.6,19.81%
8/23/2022,-24.64,-29.41,-23.48,-33.09,-16.22%
8/22/2022,-29.41,-26.59,-26.59,-32.93,10.61%
8/19/2022,-26.59,-32.56,-26.2,-34.22,-18.34%
8/18/2022,-32.56,-38.45,-31.91,-41.8,-15.32%
8/17/2022,-38.45,-46.4,-38.02,-47.54,-16.76%
8/16/2022,-46.19,-40.32,-36.82,-46.76,14.56%
8/15/2022,-40.32,-41.2,-38.02,-43.85,-2.14%
8/12/2022,-41.2,-33.92,-32.29,-41.98,21.46%
8/11/2022,-33.92,-43.76,-33.33,-46.27,-22.49%
8/10/2022,-43.76,-49.21,-37.09,-56.14,-11.07%
8/9/2022,-49.21,-46.13,-43,-49.46,6.68%
8/8/2022,-46.13,-40.69,-39.53,-46.78,13.96%
8/5/2022,-40.48,-35.69,-34.88,-50.41,13.42%
8/4/2022,-35.69,-36.46,-34.13,-39.28,-2.11%
8/3/2022,-36.46,-31.65,-30.49,-37.64,15.20%
8/2/2022,-31.65,-30.06,-29.2,-35.51,5.29%
8/1/2022,-30.06,-23.46,-22.18,-31.68,28.13%
7/29/2022,-23.46,-19.96,-14.67,-27.01,17.54%
7/28/2022,-19.96,-20.06,-14.8,-23.11,-0.50%
7/27/2022,-20.06,-25.75,-19.07,-32.82,-22.10%
7/26/2022,-25.75,-21.32,-17.8,-35.89,20.78%
7/25/2022,-21.32,-22.17,-18.23,-25.76,-3.83%
7/22/2022,-22.17,-21.5,-17.29,-25.38,2.12%
7/21/2022,-21.71,-20.72,-17.95,-23.28,4.78%
7/20/2022,-20.72,-21.51,-19.55,-23.2,-3.67%
7/19/2022,-21.51,-18.28,-15.25,-22.48,17.67%
7/18/2022,-18.28,-20.42,-17.1,-34.41,-10.48%
7/15/2022,-20.42,-17.21,-16.4,-22.47,18.65%
7/14/2022,-17.21,-21.49,-14.99,-27.71,-19.92%
7/13/2022,-21.49,-8.64,-6.24,-24.4,154.92%
7/12/2022,-8.43,-8.06,-6.72,-12.4,4.59%
7/11/2022,-8.06,-2.63,-1.02,-16.26,206.46%
7/8/2022,-2.63,-2.62,-0.72,-7.12,0.38%
7/7/2022,-2.62,-6.4,-2,-8.16,-59.06%
7/6/2022,-6.4,-0.62,0.43,-44.92,932.26%
7/5/2022,-0.62,4.86,4.86,-6.54,-112.76%
7/4/2022,4.86,4.86,4.86,4.86,0.00%
7/1/2022,4.86,5.93,10.6,-8.08,-18.04%
6/30/2022,5.93,4.28,7.2,-16.64,38.55%
6/29/2022,4.28,6.37,9.62,-18.1,-32.81%
6/28/2022,6.37,6.59,12.21,-7.24,-6.05%
6/27/2022,6.78,7.25,10.26,4.9,-6.48%
6/24/2022,7.25,7.46,8.86,1.41,-2.82%
6/23/2022,7.46,9.57,16.43,4.74,-22.05%
6/22/2022,9.57,8.26,10.63,5.31,15.86%
6/21/2022,8.26,5.74,11.15,-2.91,43.90%
6/20/2022,5.74,5.74,5.74,5.74,0.00%
6/17/2022,5.74,9.37,12.95,3.84,-38.74%
6/16/2022,9.37,7.81,17.07,4.56,19.97%
6/15/2022,7.81,3.79,16.31,-1.53,117.55%
6/14/2022,3.59,-0.69,5.05,-5.2,-620.29%
6/13/2022,-0.69,9.57,12.38,-2.02,-107.21%
6/10/2022,9.57,22.83,23.08,8.21,-58.08%
6/9/2022,22.83,24.72,25.31,20.73,-7.65%
6/8/2022,24.72,24.26,27.11,23.12,1.90%
6/7/2022,24.26,30.39,31.17,22.91,-20.17%
6/6/2022,30.39,28.22,31.61,25.68,7.69%
6/3/2022,28.22,27.97,30.4,25.45,0.89%
6/2/2022,27.97,26.18,29.11,23.63,6.84%
6/1/2022,26.18,28.51,30.14,23.96,-8.17%
5/31/2022,28.51,25.75,32.29,14.46,10.72%
5/30/2022,25.75,25.75,25.75,25.75,0.00%
5/27/2022,25.75,26.2,29,4.07,-1.72%
5/26/2022,26.2,24.68,31.08,21.3,6.16%
5/25/2022,24.68,27.17,27.17,21.36,-9.16%
5/24/2022,27.17,22.99,28.17,20.78,18.18%
5/23/2022,22.99,19.96,24.47,17.67,15.18%
5/20/2022,19.96,22.37,23.94,19.06,-10.77%
5/19/2022,22.37,21.49,25.26,18.66,4.09%
5/18/2022,21.49,28.09,30.04,20.71,-23.50%
5/17/2022,28.09,31.01,31.87,25.71,-9.42%
5/16/2022,31.01,33.57,35.63,26.53,-7.63%
5/13/2022,33.57,27.36,34.43,25.92,22.70%
5/12/2022,27.36,27.52,32.54,22.45,-0.58%
5/11/2022,27.52,38.07,38.07,9.91,-27.71%
5/10/2022,38.07,43.39,44.17,31.5,-12.26%
5/9/2022,43.39,40.35,49.49,38.91,7.53%
5/6/2022,40.35,32.1,43.06,30.47,25.70%
5/5/2022,32.1,28.98,37.4,23.2,10.77%
5/4/2022,28.98,19.27,30.96,13.99,50.39%
5/3/2022,19.27,24.37,26.35,17.73,-20.93%
5/2/2022,24.37,20.46,27.16,17.93,19.11%
4/29/2022,20.46,20.07,22.49,9.62,1.94%
4/28/2022,20.07,23.31,26.05,19.54,-13.90%
4/27/2022,23.31,24.47,25.7,16.82,-4.74%
4/26/2022,24.47,18.62,25.01,17.72,31.42%
4/25/2022,18.62,22.48,26.47,18.03,-17.17%
4/22/2022,22.48,22.98,28.61,5.79,-2.18%
4/21/2022,22.98,25.67,26.79,20.85,-10.48%
4/20/2022,25.67,33.84,35.76,24.13,-24.14%
4/19/2022,33.84,40.68,43.1,32.4,-16.81%
4/18/2022,40.68,36.95,41.08,20.64,10.09%
4/15/2022,36.95,36.95,36.95,36.95,0.00%
4/14/2022,36.95,33.61,37.76,28.3,9.94%
4/13/2022,33.61,31.97,38.38,30.6,5.13%
4/12/2022,31.97,27.28,34.62,21.59,17.19%
4/11/2022,27.28,18.63,29.24,16.66,46.43%
4/8/2022,18.63,19.39,21.94,12.56,-3.92%
4/7/2022,19.39,11.19,21.62,11.19,73.28%
4/6/2022,11.19,2.84,13.2,1,294.01%
4/5/2022,2.84,-2.66,5.61,-3.08,-206.77%
4/4/2022,-2.66,-7.48,3.96,-9.83,-64.44%
4/1/2022,-7.48,0.88,5.32,-8.48,-950.00%
3/31/2022,0.88,4.19,5.23,-1.7,-79.00%
3/30/2022,4.19,2.35,8.66,1.08,78.30%
3/29/2022,2.35,12.61,33.41,-0.03,-81.36%
3/28/2022,12.61,20.18,20.18,9.25,-37.51%
3/25/2022,20.18,23.17,23.17,15.56,-12.90%
3/24/2022,23.17,18.98,24.43,17.24,22.08%
3/23/2022,18.98,21.26,25.2,17.97,-10.72%
3/22/2022,21.26,17.77,22.26,13.56,19.64%
3/21/2022,17.77,20.71,22.67,11.37,-14.20%
3/18/2022,20.71,24.76,25.67,16.98,-16.36%
3/17/2022,24.76,24.2,27.77,18.56,2.31%
3/16/2022,24.2,29.44,32.89,20.7,-17.80%
3/15/2022,29.44,27.51,32.18,25.78,7.02%
3/14/2022,27.51,24.92,30.03,22.95,10.39%
3/11/2022,24.92,28.92,29.18,22.96,-13.83%
3/10/2022,28.92,27.4,29.53,23.76,5.55%
3/9/2022,27.4,23.79,27.93,22.69,15.17%
3/8/2022,23.79,21.71,28.2,20.17,9.58%
3/7/2022,21.71,24.59,26.53,18.47,-11.71%
3/4/2022,24.59,31.47,31.53,22.63,-21.36%
3/3/2022,31.27,36.28,39.91,29.94,-13.81%
3/2/2022,36.28,37.95,42.57,31.28,-4.40%
3/1/2022,37.95,38.36,45.06,36.17,-1.07%
2/28/2022,38.36,39.89,43.94,35.89,-3.84%
2/25/2022,39.89,39.09,40.44,35.54,2.05%
2/24/2022,39.09,39.08,43.42,35.47,0.03%
2/23/2022,39.08,38.1,39.28,34.6,3.06%
2/22/2022,37.92,45.55,45.55,37.89,-16.75%
2/21/2022,45.55,45.55,45.55,45.55,0.00%
2/18/2022,45.55,49.47,50.66,44.24,-7.92%
2/17/2022,49.47,50.94,53.53,46.44,-2.89%
2/16/2022,50.94,46.42,52.8,44.83,9.74%
2/15/2022,46.42,41.38,48.1,39.36,12.18%
2/14/2022,41.38,42.89,46.61,37.9,-3.52%
2/11/2022,42.89,43.24,50.83,39.09,-0.81%
2/10/2022,43.24,57.69,59.53,41.22,-25.05%
2/9/2022,57.69,61.77,61.77,57.11,-6.61%
2/8/2022,61.77,62.33,64.05,60.45,-0.90%
2/7/2022,62.33,59.79,63.05,57.54,4.25%
2/4/2022,59.79,63.23,63.63,58.1,-5.44%
2/3/2022,63.23,62.03,65.17,61.6,1.93%
2/2/2022,62.03,62.37,64.32,59.13,-0.55%
2/1/2022,62.37,59.74,63.33,57.96,4.40%
1/31/2022,59.74,60.43,62.05,57.07,-1.14%
1/28/2022,60.43,61.3,65.07,59.71,-1.42%
1/27/2022,61.3,71.45,71.45,60.36,-14.21%
1/26/2022,71.45,74.52,77.62,69.76,-4.12%
1/25/2022,74.52,80.32,80.32,73.07,-7.22%
1/24/2022,80.32,75.29,80.73,70.33,6.68%
1/21/2022,75.29,78.24,78.24,74.13,-3.77%
1/20/2022,78.24,80.11,80.37,76.89,-2.33%
1/19/2022,80.11,82.7,84.57,79.52,-3.13%
1/18/2022,82.7,82.23,84.54,76.08,0.57%
1/17/2022,82.23,82.23,82.23,82.23,0.00%
1/14/2022,82.23,80.39,82.26,78.79,2.29%
1/13/2022,80.39,82.7,84,79.89,-2.79%
1/12/2022,82.7,85.8,86.2,80.8,-3.39%
1/11/2022,85.6,85.48,86.72,82.52,0.14%
1/10/2022,85.48,89.36,92.01,84.95,-4.34%
1/7/2022,89.36,85.28,91.78,84.02,4.78%
1/6/2022,85.28,86.85,88.97,83.95,-1.81%
1/5/2022,86.85,88.73,89.24,85.8,-2.12%
1/4/2022,88.73,85.74,91.82,84.02,3.49%
1/3/2022,85.74,77.6,85.99,75.73,10.49%
12/31/2021,77.6,77.45,79.42,76.24,0.19%
12/30/2021,77.45,80.28,80.38,76.81,-3.53%
12/29/2021,80.28,72.65,80.63,72.43,10.50%
12/28/2021,72.65,77.08,77.08,70.81,-5.75%
12/27/2021,77.08,79.87,80.08,75.7,-3.59%
12/24/2021,79.95,79.95,79.95,79.95,0.00%
12/23/2021,79.95,78.68,81.65,76.61,1.61%
12/22/2021,78.68,79.66,80.3,78.04,-1.23%
12/21/2021,79.66,79.01,82.16,78.05,0.82%
12/20/2021,79.01,76.59,79.28,73.54,3.16%
12/17/2021,76.59,80.55,80.75,74.76,-4.92%
12/16/2021,80.55,79.14,82.64,77.66,1.78%
12/15/2021,79.14,78.26,80.26,71.76,1.12%
12/14/2021,78.26,77.98,80.93,76.62,0.36%
12/13/2021,77.98,82.59,83.16,76.91,-5.58%
12/10/2021,82.59,80.39,83.62,77.87,2.74%
12/9/2021,80.39,84.09,84.29,79.42,-4.40%
12/8/2021,84.09,78.7,84.69,75.2,6.85%
12/7/2021,78.7,79.76,81.18,76.2,-1.58%
12/6/2021,79.96,76.16,81.01,74,4.99%
12/3/2021,76.16,82.8,82.8,74.36,-8.02%
12/2/2021,82.8,85.07,86.13,80.99,-2.67%
12/1/2021,85.07,88.58,90.34,84.35,-3.96%
11/30/2021,88.58,100.43,101.36,87.31,-11.80%
11/29/2021,100.43,97.21,102.24,90.34,3.31%
11/26/2021,97.21,99.73,101.9,95.57,-2.53%
11/25/2021,99.73,99.73,99.73,99.73,0.00%
11/24/2021,99.73,105.96,105.96,98.81,-5.88%
11/23/2021,105.96,103.81,107.02,63.09,2.07%
11/22/2021,103.81,103.34,105.57,101.04,0.45%
11/19/2021,103.34,108.34,110.16,102.46,-4.62%
11/18/2021,108.34,108.58,110.26,107.41,-0.22%
11/17/2021,108.58,111.67,112.41,108,-2.77%
11/16/2021,111.67,109.65,112.25,107.34,1.84%
11/15/2021,109.65,105.06,110.77,102.71,4.37%
11/12/2021,105.06,104.92,107.55,102.03,0.13%
11/11/2021,104.92,104.92,104.92,104.92,0.00%
11/10/2021,104.92,101.48,108.04,97.08,3.39%
11/9/2021,101.48,104.49,106.55,99.84,-2.88%
11/8/2021,104.49,104.83,106.54,103.78,-5.14%
11/5/2021,110.15,110.15,112.19,103.84,0.00%
11/4/2021,110.15,112.59,114.01,109.63,-2.17%
11/3/2021,112.59,109.73,113.77,105.14,2.61%
11/2/2021,109.73,105.81,110.43,104.96,3.70%
11/1/2021,105.81,105.64,108.25,103.68,0.16%
10/29/2021,105.64,108.56,110.72,103.01,-2.69%
10/28/2021,108.56,104.63,109.09,97.64,3.76%
10/27/2021,104.63,116.1,116.1,103.07,-9.88%
10/26/2021,116.1,119.54,120.35,115.92,-2.88%
10/25/2021,119.54,117.64,121.57,117.64,1.62%
10/22/2021,117.64,124.15,124.8,116.45,-5.24%
10/21/2021,124.15,127.11,128,123.46,-2.33%
10/20/2021,127.11,124.04,127.26,123.24,2.48%
10/19/2021,124.04,116.74,124.84,116.23,6.25%
10/18/2021,116.74,117.71,119.18,114.89,-0.82%
10/15/2021,117.71,115,119.18,115,2.36%
10/14/2021,115,117.85,120.67,114.52,-2.42%
10/13/2021,117.85,122.8,123.95,116.86,-4.03%
10/12/2021,122.8,129.02,129.02,121.9,-4.82%
10/11/2021,129.02,129.02,129.02,129.02,0.00%
10/8/2021,129.02,126.52,129.7,125.35,1.98%
10/7/2021,126.52,122.83,126.89,121.07,3.00%
10/6/2021,122.83,124.02,127.96,120.52,-0.96%
10/5/2021,124.02,119.93,124.87,118.89,3.41%
10/4/2021,119.93,119.76,122.49,116.6,0.14%
10/1/2021,119.76,120.94,122.94,119.21,-0.98%
9/30/2021,120.94,122.88,125.36,120.27,-1.58%
9/29/2021,122.88,123.95,125.24,119.34,-0.86%
9/28/2021,123.95,120.9,125.25,116.62,2.52%
9/27/2021,120.9,117.94,122.97,117.11,2.51%
9/24/2021,117.94,117.08,118.97,114.76,0.56%
9/23/2021,117.28,106.2,117.28,106.01,10.43%
9/22/2021,106.2,110.81,112,106.03,-4.16%
9/21/2021,110.81,109.49,112.14,108.08,1.21%
9/20/2021,109.49,113.59,114.06,108.01,-3.61%
9/17/2021,113.59,111.31,115.61,110.26,2.05%
9/16/2021,111.31,108.91,112.67,107.73,2.20%
9/15/2021,108.91,107.3,110.43,104.9,1.50%
9/14/2021,107.3,111.13,113.35,105.71,-3.45%
9/13/2021,111.13,112.64,112.95,110.11,-1.34%
9/10/2021,112.64,108.1,113.26,107.71,4.20%
9/9/2021,108.1,111.6,112.53,106.92,-3.14%
9/8/2021,111.6,115.29,115.47,110.92,-3.20%
9/7/2021,115.29,111.59,116.36,111.4,3.32%
9/6/2021,111.59,111.59,111.59,111.59,0.00%
9/3/2021,111.59,107.39,112.81,106.38,3.91%
9/2/2021,107.39,108.56,109.25,107.2,-1.08%
9/1/2021,108.56,109.41,111.72,107.47,-0.78%
8/31/2021,109.41,107.35,110.67,104.58,1.92%
8/30/2021,107.35,108.97,109.68,107.04,-1.49%
8/27/2021,108.97,110.99,111.12,108,-1.82%
8/26/2021,110.99,110.68,112.83,108.8,0.28%
8/25/2021,110.68,107.09,110.68,103.73,3.35%
8/24/2021,107.09,102.55,107.26,102.35,4.43%
8/23/2021,102.55,102.72,104.95,102.18,-0.17%
8/20/2021,102.72,102.01,103.93,100.46,0.70%
8/19/2021,102.01,104.08,104.75,101.32,-1.99%
8/18/2021,104.08,104.77,106.97,103.75,-0.66%
8/17/2021,104.77,105.18,105.72,101.17,-0.39%
8/16/2021,105.18,107.26,107.45,102.06,-1.94%
8/13/2021,107.26,113.43,113.6,106.56,-5.44%
8/12/2021,113.43,111.31,115.49,111.11,1.90%
8/11/2021,111.31,111.4,113.31,108.17,-0.08%
8/10/2021,111.4,110.14,111.75,108.44,1.14%
